CRIM,ZN,INDUS,NOX
2.3004,0.0,19.58,0.605
13.3598,0.0,18.1,0.693
0.12744,0.0,6.91,0.44799999999999995
0.15875999999999998,0.0,10.81,0.413
0.03768,80.0,1.52,0.40399999999999997
0.03705,20.0,3.33,0.4429
0.07244,60.0,1.69,0.41100000000000003
0.1,34.0,6.09,0.433
4.812130000000001,0.0,18.1,0.713
0.15086,0.0,27.74,0.609
38.3518,0.0,18.1,0.693
0.05479,33.0,2.18,0.47200000000000003
4.541919999999999,0.0,18.1,0.77
0.7857,20.0,3.97,0.647
3.5350099999999998,0.0,19.58,0.871
1.22358,0.0,19.58,0.605
0.08826,0.0,10.81,0.413
3.56868,0.0,18.1,0.58
3.4742800000000003,0.0,18.1,0.718
0.05735,0.0,4.49,0.449
0.04981,21.0,5.64,0.439
0.17505,0.0,5.96,0.499
7.75223,0.0,18.1,0.713
8.26725,0.0,18.1,0.6679999999999999
5.66637,0.0,18.1,0.74
0.17331,0.0,9.69,0.585
0.14476,0.0,10.01,0.547
1.27346,0.0,19.58,0.605
6.39312,0.0,18.1,0.584
8.792119999999999,0.0,18.1,0.584
0.0566,0.0,3.41,0.489
0.03932,0.0,3.41,0.489
8.64476,0.0,18.1,0.693
0.46296000000000004,0.0,6.2,0.504
2.924,0.0,19.58,0.605
15.288,0.0,18.1,0.6709999999999999
1.46336,0.0,19.58,0.605
0.29819,0.0,6.2,0.504
9.329089999999999,0.0,18.1,0.713
0.32264,0.0,21.89,0.624
0.030410000000000003,0.0,5.19,0.515
41.5292,0.0,18.1,0.693
0.55778,0.0,21.89,0.624
0.34006,0.0,21.89,0.624
1.8002799999999999,0.0,19.58,0.605
0.38214000000000004,0.0,6.2,0.504
0.09744,0.0,5.96,0.499
9.82349,0.0,18.1,0.6709999999999999
11.9511,0.0,18.1,0.659
0.08387,0.0,12.83,0.43700000000000006
1.19294,0.0,21.89,0.624
1.49632,0.0,19.58,0.871
22.0511,0.0,18.1,0.74
0.09849,0.0,25.65,0.581
7.9924800000000005,0.0,18.1,0.7
5.8240099999999995,0.0,18.1,0.532
0.19072999999999998,22.0,5.86,0.431
1.25179,0.0,8.14,0.5379999999999999
0.0795,60.0,1.69,0.41100000000000003
0.15098,0.0,10.01,0.547
2.36862,0.0,19.58,0.871
4.64689,0.0,18.1,0.614
0.11132,0.0,27.74,0.609
0.037380000000000004,0.0,5.19,0.515
0.32982,0.0,21.89,0.624
7.83932,0.0,18.1,0.655
0.09103,0.0,2.46,0.488
0.37578,0.0,10.59,0.489
9.18702,0.0,18.1,0.7
0.07875,45.0,3.44,0.43700000000000006
9.2323,0.0,18.1,0.631
9.39063,0.0,18.1,0.74
0.20608,22.0,5.86,0.431
6.288069999999999,0.0,18.1,0.74
0.24103000000000002,0.0,7.38,0.493
51.1358,0.0,18.1,0.597
0.80271,0.0,8.14,0.5379999999999999
0.02729,0.0,7.07,0.469
0.13642,0.0,10.59,0.489
0.05083,0.0,5.19,0.515
0.18836,0.0,6.91,0.44799999999999995
1.12658,0.0,19.58,0.871
0.537,0.0,6.2,0.504
0.07886,80.0,4.95,0.41100000000000003
0.009059999999999999,90.0,2.97,0.4
0.17899,0.0,9.69,0.585
0.11425,0.0,13.89,0.55
18.0846,0.0,18.1,0.679
0.62356,0.0,6.2,0.507
5.669980000000001,0.0,18.1,0.631
0.05425,0.0,4.05,0.51
15.1772,0.0,18.1,0.74
4.898219999999999,0.0,18.1,0.631
7.05042,0.0,18.1,0.614
19.6091,0.0,18.1,0.6709999999999999
0.07165,0.0,25.65,0.581
0.051879999999999996,0.0,4.49,0.449
0.04297,52.5,5.32,0.405
0.20745999999999998,0.0,27.74,0.609
0.6718,0.0,18.1,0.74
0.03551,25.0,4.86,0.426
0.55007,20.0,3.97,0.647
5.7081800000000005,0.0,18.1,0.532
0.33147,0.0,6.2,0.507
0.61154,20.0,3.97,0.647
0.19802,0.0,10.59,0.489
0.15936,0.0,6.91,0.44799999999999995
10.0623,0.0,18.1,0.584
1.51902,0.0,19.58,0.605
13.5222,0.0,18.1,0.631
0.13914,0.0,4.05,0.51
0.015009999999999999,90.0,1.21,0.401
0.08265,0.0,13.92,0.43700000000000006
5.87205,0.0,18.1,0.693
0.04462,25.0,4.86,0.426
0.30346999999999996,0.0,7.38,0.493
0.01439,60.0,2.93,0.401
0.05644,40.0,6.41,0.447
4.668830000000001,0.0,18.1,0.713
0.9557700000000001,0.0,8.14,0.5379999999999999
0.03871,52.5,5.32,0.405
5.73116,0.0,18.1,0.532
11.5779,0.0,18.1,0.7
0.21124,12.5,7.87,0.524
0.1146,20.0,6.96,0.46399999999999997
2.37934,0.0,19.58,0.871
0.34109,0.0,7.38,0.493
0.40771,0.0,6.2,0.507
0.04203,28.0,15.04,0.46399999999999997
0.02543,55.0,3.78,0.484
0.49298000000000003,0.0,9.9,0.544
0.08187,0.0,2.89,0.445
4.8356699999999995,0.0,18.1,0.583
25.9406,0.0,18.1,0.679
3.6782199999999996,0.0,18.1,0.77
0.22438000000000002,0.0,9.69,0.585
15.8744,0.0,18.1,0.6709999999999999
0.32543,0.0,21.89,0.624
0.030489999999999996,55.0,3.78,0.484
0.06588,0.0,2.46,0.488
0.03537,34.0,6.09,0.433
0.045439999999999994,0.0,3.24,0.46
0.06151,0.0,5.19,0.515
0.05602000000000001,0.0,2.46,0.488
73.5341,0.0,18.1,0.679
0.03466,35.0,6.06,0.4379
0.26169000000000003,0.0,9.9,0.544
0.33983,22.0,5.86,0.431
0.04819,80.0,3.64,0.392
0.062110000000000005,40.0,1.25,0.429
0.021769999999999998,82.5,2.03,0.415
2.37857,0.0,18.1,0.583
0.04337,21.0,5.64,0.439
0.5201399999999999,20.0,3.97,0.647
0.6379600000000001,0.0,8.14,0.5379999999999999
1.00245,0.0,8.14,0.5379999999999999
8.24809,0.0,18.1,0.713
0.14866,0.0,8.56,0.52
0.06262999999999999,0.0,11.93,0.573
15.8603,0.0,18.1,0.679
0.032369999999999996,0.0,2.18,0.45799999999999996
1.2324700000000002,0.0,8.14,0.5379999999999999
9.91655,0.0,18.1,0.693
1.6128200000000001,0.0,8.14,0.5379999999999999
0.0351,95.0,2.68,0.4161
0.02187,60.0,2.93,0.401
0.06888,0.0,2.46,0.488
0.18337,0.0,27.74,0.609
0.03615,80.0,4.95,0.41100000000000003
0.84054,0.0,8.14,0.5379999999999999
0.0578,0.0,2.46,0.488
9.92485,0.0,18.1,0.74
0.049319999999999996,33.0,2.18,0.47200000000000003
0.25915,0.0,21.89,0.624
6.44405,0.0,18.1,0.584
16.8118,0.0,18.1,0.7
0.54452,0.0,21.89,0.624
0.12204000000000001,0.0,2.89,0.445
0.5401100000000001,20.0,3.97,0.647
14.2362,0.0,18.1,0.693
0.22926999999999997,0.0,6.91,0.44799999999999995
0.14052,0.0,10.59,0.489
0.26363000000000003,0.0,8.56,0.52
0.67191,0.0,8.14,0.5379999999999999
6.65492,0.0,18.1,0.713
14.4383,0.0,18.1,0.597
4.75237,0.0,18.1,0.713
0.0187,85.0,4.15,0.429
7.40389,0.0,18.1,0.597
5.29305,0.0,18.1,0.7
37.6619,0.0,18.1,0.679
0.51183,0.0,6.2,0.507
0.10328,25.0,5.13,0.45299999999999996
14.3337,0.0,18.1,0.7
0.06899,0.0,25.65,0.581
0.03659,25.0,4.86,0.426
0.5341199999999999,20.0,3.97,0.647
0.02985,0.0,2.18,0.45799999999999996
0.6147,0.0,6.2,0.507
4.422280000000001,0.0,18.1,0.584
0.02731,0.0,7.07,0.469
0.62976,0.0,8.14,0.5379999999999999
0.8520399999999999,0.0,8.14,0.5379999999999999
0.08829,12.5,7.87,0.524
0.11069000000000001,0.0,13.89,0.55
0.03961,0.0,5.19,0.515
0.27957,0.0,9.69,0.585
0.82526,20.0,3.97,0.647
0.10793,0.0,8.56,0.52
25.0461,0.0,18.1,0.693
0.01709,90.0,2.02,0.41
1.8337700000000001,0.0,19.58,0.605
0.06663999999999999,0.0,4.05,0.51
0.08244,30.0,4.93,0.428
0.01965,80.0,1.76,0.385
24.8017,0.0,18.1,0.693
3.32105,0.0,19.58,0.871
0.22211999999999998,0.0,10.01,0.547
14.4208,0.0,18.1,0.74
0.7258,0.0,8.14,0.5379999999999999
1.4250200000000002,0.0,19.58,0.871
14.0507,0.0,18.1,0.597
8.20058,0.0,18.1,0.713
15.0234,0.0,18.1,0.614
1.3547200000000001,0.0,8.14,0.5379999999999999
8.05579,0.0,18.1,0.584
0.19657,22.0,5.86,0.431
0.050589999999999996,0.0,4.49,0.449
0.09299,0.0,25.65,0.581
1.05393,0.0,8.14,0.5379999999999999
0.12579,45.0,3.44,0.43700000000000006
0.17446,0.0,10.59,0.489
0.16211,20.0,6.96,0.46399999999999997
0.22489,12.5,7.87,0.524
45.7461,0.0,18.1,0.693
2.2423599999999997,0.0,19.58,0.605
0.29916,20.0,6.96,0.46399999999999997
8.71675,0.0,18.1,0.693
0.07022,0.0,4.05,0.51
0.09164,0.0,10.81,0.413
24.3938,0.0,18.1,0.7
0.14932,25.0,5.13,0.45299999999999996
0.12932000000000002,0.0,13.92,0.43700000000000006
5.20177,0.0,18.1,0.77
0.31827,0.0,9.9,0.544
0.11504,0.0,2.89,0.445
0.10574000000000001,0.0,27.74,0.609
0.7842,0.0,8.14,0.5379999999999999
2.4466799999999997,0.0,19.58,0.871
0.06047,0.0,2.46,0.488
0.25387,0.0,6.91,0.44799999999999995
3.7749800000000002,0.0,18.1,0.655
0.19539,0.0,10.81,0.413
0.3494,0.0,9.9,0.544
11.0874,0.0,18.1,0.718
5.69175,0.0,18.1,0.583
0.08447,0.0,4.05,0.51
0.44791000000000003,0.0,6.2,0.507
28.6558,0.0,18.1,0.597
0.28955,0.0,10.59,0.489
2.01019,0.0,19.58,0.605
4.87141,0.0,18.1,0.614
0.14455,12.5,7.87,0.524
0.054970000000000005,0.0,5.19,0.515
4.34879,0.0,18.1,0.58
0.06129,20.0,3.33,0.4429
6.71772,0.0,18.1,0.713
0.07151,0.0,4.49,0.449
0.11329000000000002,30.0,4.93,0.428
10.8342,0.0,18.1,0.679
3.83684,0.0,18.1,0.77
0.12757000000000002,30.0,4.93,0.428
1.15172,0.0,8.14,0.5379999999999999
0.013009999999999999,35.0,1.52,0.442
0.09178,0.0,4.05,0.51
0.0536,21.0,5.64,0.439
0.12802,0.0,8.56,0.52
0.07977999999999999,40.0,6.41,0.447
0.04113,25.0,4.86,0.426
1.13081,0.0,8.14,0.5379999999999999
88.9762,0.0,18.1,0.6709999999999999
0.26838,0.0,9.69,0.585
11.1081,0.0,18.1,0.6679999999999999
0.14103,0.0,13.92,0.43700000000000006
8.98296,0.0,18.1,0.77
0.12329000000000001,0.0,10.01,0.547
0.25199,0.0,10.59,0.489
0.22188000000000002,20.0,6.96,0.46399999999999997
0.08872999999999999,21.0,5.64,0.439
0.02899,40.0,1.25,0.429
0.08308,0.0,2.46,0.488
0.01311,90.0,1.22,0.40299999999999997
0.13158,0.0,10.01,0.547
0.02009,95.0,2.68,0.4161
0.09252,30.0,4.93,0.428
0.15037999999999999,0.0,25.65,0.581
0.2498,0.0,21.89,0.624
0.57834,20.0,3.97,0.575
0.050230000000000004,35.0,6.06,0.4379
9.72418,0.0,18.1,0.74
0.22969,0.0,10.59,0.489
0.22876,0.0,8.56,0.52
9.59571,0.0,18.1,0.693
1.6286399999999999,0.0,21.89,0.624
0.05646,0.0,12.83,0.43700000000000006
0.52058,0.0,6.2,0.507
1.2074200000000002,0.0,19.58,0.605
0.17171,25.0,5.13,0.45299999999999996
2.4495299999999998,0.0,19.58,0.605
0.04741,0.0,11.93,0.573
0.043789999999999996,80.0,3.37,0.39799999999999996
0.01432,100.0,1.32,0.41100000000000003
0.03427,0.0,5.19,0.515
0.18159,0.0,7.38,0.493
5.5810699999999995,0.0,18.1,0.713
23.6482,0.0,18.1,0.6709999999999999
2.14918,0.0,19.58,0.871
2.3309900000000003,0.0,19.58,0.871
0.2896,0.0,9.69,0.585
0.06466000000000001,70.0,2.24,0.4
0.01381,80.0,0.46,0.42200000000000004
0.03306,0.0,5.19,0.515
0.35233000000000003,0.0,21.89,0.624
0.06724,0.0,3.24,0.46
0.04294,28.0,15.04,0.46399999999999997
4.55587,0.0,18.1,0.718
0.66351,20.0,3.97,0.647
7.67202,0.0,18.1,0.693
0.0136,75.0,4.0,0.41
0.17142000000000002,0.0,6.91,0.44799999999999995
0.08221,22.0,5.86,0.431
0.31533,0.0,6.2,0.504
6.96215,0.0,18.1,0.7
20.7162,0.0,18.1,0.659
0.12082999999999999,0.0,2.89,0.445
0.01951,17.5,1.38,0.4161
0.09512000000000001,0.0,12.83,0.43700000000000006
6.53876,0.0,18.1,0.631
0.02875,28.0,15.04,0.46399999999999997
2.81838,0.0,18.1,0.532
0.027630000000000002,75.0,2.95,0.428
0.10153,0.0,12.83,0.43700000000000006
0.06911,45.0,3.44,0.43700000000000006
0.33045,0.0,6.2,0.507
2.7797400000000003,0.0,19.58,0.871
0.1029,30.0,4.93,0.428
0.10659,80.0,1.91,0.413
8.49213,0.0,18.1,0.584
0.25356,0.0,9.9,0.544
0.59005,0.0,21.89,0.624
0.035019999999999996,80.0,4.95,0.41100000000000003
13.9134,0.0,18.1,0.713
3.6736699999999995,0.0,18.1,0.583
67.9208,0.0,18.1,0.693
3.69311,0.0,18.1,0.713
0.21038,20.0,3.33,0.4429
0.04684,0.0,3.41,0.489
0.28392,0.0,7.38,0.493
0.19133,22.0,5.86,0.431
0.06162,0.0,4.39,0.442
13.0751,0.0,18.1,0.58
0.16439,22.0,5.86,0.431
0.13058,0.0,10.01,0.547
0.04666,80.0,1.52,0.40399999999999997
5.44114,0.0,18.1,0.713
0.21161,0.0,8.56,0.52
0.38735,0.0,25.65,0.581
3.69695,0.0,18.1,0.718
0.0837,45.0,3.44,0.43700000000000006
0.02055,85.0,0.74,0.41
0.0459,52.5,5.32,0.405
0.061270000000000005,40.0,6.41,0.447
0.19186,0.0,7.38,0.493
0.1712,0.0,8.56,0.52
1.6566,0.0,19.58,0.871
0.00632,18.0,2.31,0.5379999999999999
0.88125,0.0,21.89,0.624
0.9884299999999999,0.0,8.14,0.5379999999999999
0.015380000000000001,90.0,3.75,0.39399999999999996
0.05561,70.0,2.24,0.4
0.3692,0.0,9.9,0.544
0.0315,95.0,1.47,0.40299999999999997
0.05789,12.5,6.07,0.409
0.01778,95.0,1.47,0.40299999999999997
0.57529,0.0,6.2,0.507
20.0849,0.0,18.1,0.7
18.811,0.0,18.1,0.597
14.3337,0.0,18.1,0.614
0.07896,0.0,12.83,0.43700000000000006
0.03578,20.0,3.33,0.4429
0.10612,30.0,4.93,0.428
0.9761700000000001,0.0,21.89,0.624
18.4982,0.0,18.1,0.6679999999999999
4.0974,0.0,19.58,0.871
0.15445,25.0,5.13,0.45299999999999996
0.23911999999999997,0.0,9.69,0.585
0.0456,0.0,13.89,0.55
1.38799,0.0,8.14,0.5379999999999999
7.36711,0.0,18.1,0.679
0.1415,0.0,6.91,0.44799999999999995
